Class,Text
no,Nicole’s testimony :                                     I HAVE LUPUS... And it stinks. Everyday I hurt and cry and struggle  to want to keep going...I literally feel like I have the flu every day!!  Ugh... my hands... 
no,#news #flu Higher prices help foie gras farmers overcome bird flu crises - Reuters 
yes,CDC: A second flu outbreak may be here - East Bay Times 
no," Oh no, you don't have the dreaded MAN FLU do you?"
no,  Look at this little face! &lt;3 Gainsford came to us with tummy issues and flu which has taken a while to resolve.  Now th…
no,Do you know what to do in a state of emergency? Learn preparedness skills to make sure your community stays safe when a flu outbreak hits or a wildfire erupts. Register for the April 10 workshop:  #LiveWellSD 
no,Flu season isn't over yet!  Ck out this guide to managing household germs from  #generationgood 
yes,  Nigga I downed 2 cups of everclear and my homie told me his mom had the flu and I started crying cause I thought she wa…
no,  I got this gift from  to our BD Celebration for  This is our last picture 2gether in 04/17+ so overwh…
no,  The CDC reports more flu cases from the B virus -- which hits young children harder. Does that mean a second wave is on the way?…
no,  Doctors couldn't figure out what was wrong with 9-year-old Fernando — until they realized he had a disease that fewer than…
no, I had flu at uni 20 yrd ago. I wanted to ring my parents to say goodbye but didn't have the energy. Emerged after 4 days like a newborn lamb
no,"My life verse is Job 19:18! ""Even young children despise me; when I rise they talk against me.""  The deadly flu epidemic was in 1918. I wonder if this means anything. "
yes,Fuck this flu actually 
yes,I think I’m getting a flu cause my body feels so not okay rn but I can’t afford lemsips until tomorrow tight
no,  Hi friends Many are preparing to travel and visit with family/friends during the spring break &amp; holiday season. Please be…
yes,  Great time for  to be released...I'm out sick with the flu and can actually just sit and listen.  Really enjo…
no,  wild. i'm old enough to remember when peter mackay was a minister of the crown getting fun free trips on search and resc…
no,"  This is stunning.  ONS stats show a shocking 10,000 excess deaths in the first 6 weeks of 2018 - when the NHS was in und…"
yes,2/3 of my final hand ins doooone after spending 3 hours hanging my work for 1 of 2 final exhibitions with the flu 
yes,This flu has humbled me ...  I never ever sleep during the day yet Ive been out of the week  I never ignore my phone.. here Im dealing with missed calls    I just wanna be my old self again. Breathing is literally a privilege I wont take for granted again.
no,Same here 
no,"  Vitamin D Is More Effective Than #Flu #Vaccine, #Study Says   "
no,Pour fours in the soda I can’t catch a flu
no,Cold and #flu season means sales increases for Kleenex Home Care tissue sales and a decrease in #productivity for companies via The Dallas Morning News   
no,These 3:30 ramps have all the same excitement as getting a flu shot.
no,Got the flu? Stay home! Get better. It’s costing us billions 
no,"  Hey we missed you on the big screen , hope u were just on assignment n r feeling well. The kidd is just getting over the flu. Hope 2 c u bac soon    did a good fill in for you. Y'all b coo.  "
yes,starting May with a flu isn’t a good start
no,Synthetic Flu Vaccine Created As A Pill - Shared from  [ 
no,  schedule leaks and angry bucs fans and pollen coming at me at the same time. this is my flu game
yes,"  The doc said my stomach flu would last about 5 days... and she was right. As miserable as it was, I'm feeling so much bet…"
no,"  Besides the warmer temps, this is the BEST. NEWS. EVER. #Flu season is winding down according to  Urgent…"
no,"Mike Pence on bird flu: ""I got it from Bernie Sanders!"" #troopergate #DrainTheSwamp"
no,"  A reminder:  - 40,000 nurses short  - 10,000 Drs down  - 100,000 vacant posts across NHS (~1/11) - nearly 15,000 beds c…"
no,"  Did you know that Emergen-C contains absorbic acid with is only one component of vitamin C? Filled with GMO ingredients, it…"
no,"  Pomegranate juice may help your body fight bacteria and several kinds of viruses, including the flu. Learn more: "
yes,A Texas teacher was extra careful not to catch it... but the flu almost killed her.  
no,There is a serious cold/flu-like sickness sweeping through Knoxville that has now descended upon the fine people at   Please keep us in your T’s &amp; P’s.
no,"  I can't imagine this, but it is the case for pediatric cancer patients.      #STARAc…"
no,"  In general, the flu is worse than the common cold and has more intense symptoms. It can be difficult to tell the difference bet…"
yes,I think I am ill and this illness is more dangerous than flu
yes,Stomach flu sucks :( 
no,If anyone is sick/has allergies/the flu/ basically dying ... I have the perfect miracle for you. DM me for the secret.
no,  Hi friends Many are preparing to travel and visit with family/friends during the spring break &amp; holiday season. Please be…
no,"I added a video to a  playlist  tony pantalleresco: chemtrail ""flu""; hemorrhoid remedy"
no,  I ate beef yesterday. Guess how much cow DNA I put in my body.  
no,"  ""I smoked cocaine the night before my college graduation; now I'm afraid to get a flu shot. People change."" John Mulaney…"
no,"11 more flu deaths were reported last week. If you have not gotten a flu shot, you should.  "
no,anyone doing #keto can u confirm if you’ve felt sick when first starting? i feel nauseated and i’m abt a week into it so idk. i know “keto” flu is a thing but i only feel stomach sick so i dunno maybe i just ate too many eggs lmfao
no,  Hmmmm...     : Canadians DEMAND the truth about Vaccines Immedia…
no,Always knew you were a man 
yes,I swear. Once this flu is gone. 
yes,Man flu has struck. Hard. It will be Netflix and pills for me this evening.
no,&amp; you’re cute so go you too. 
yes,  I ALSO have the flu right now so just generally broken
yes,"A sinus infection, strep throat, and the flu but you best bet I’m still going to be at Joe B’s Sunday "
no,"Bill Gates, calling for global disease preparedness, to invest $12M for flu vaccine "
no,  Gates: Trump's Very Keen For A Universal Flu Vaccine -  
no,A Flock of Seagulls Bird Flu  #MakeABandSickly
no,  Hi friends Many are preparing to travel and visit with family/friends during the spring break &amp; holiday season. Please be…
no,  Powassan virus is spreading across Canada and can cause severe meningoencephalitis. It should be suspected in those presenting wi…
yes,  Oh. I got the stomach flu and they used the substitute though. I never got to participate 
no,  When I finally sleep... I HATE that moment I wake &amp; reality hits me over &amp; over life without my son Dylan who died jus…
no,New numbers are showing another drop in doctors visits due to the flu. Read this article to learn more. 
no,"  These are troubling times for Whitechapel, as the district is increasingly overwhelmed by victims of the Spanish Flu epidem…"
no,"  Nurse Warns of ""Biogenics [Biologics]"" &amp; Forced #Flu Shots Happening in US Hospitals   "
yes,  I actually been experiencing flu like symptoms lately Dr... 
no,"Flu season is starting to wind down, but it is possible to get the flu more than once a season. Keep washing your hands and avoid touching your eyes, nose, and mouth to keep germs away! "
yes,Didn’t ride much this weekend due to the flu   Still had a rad time at #valdostayardsale2  
no,". ""Hospitalization because of #influenza may lead to loss in health &amp; ability to be independent"" &amp; flu prevention is a first line of defense in #olderpeople, especially those with one or more chronic conditions "
no,No cases of H5N8 avian flu recorded in Saudi Arabia  
no,"  I never believed that when you boil Stoney and add med lemon works well for flu till I tried it, Dr boo taught me something…"
no,"  Barclays, which said bitcoin behaves like a flu, a bubble, and all the nasty things one can say about the market, is ap…"
no,CDCemergency:  CDCFlu: #Flu viruses are among the fastest known mutating viruses. Learn how CDC uses next-generation gene sequencing tools to analyze this constantly changing virus.  #NPHW 
no,    Isn't this the guy that said something was wrong with the flu vaccines?
no,  Men like acting tough till they get a little flu they act like they are on life support 
no,Should you get a massage if you have a cold or the flu? Learn more:  
yes,"And, I'm finally almost over this flu round 2 nonsense!"
no,  #STUDY: #Flu #Vaccine Associated w/ Spontaneous Abortion in #Pregnant Women   #VaccineInjury 
yes,  This flu must not even try me abeg o ......
no,Q:What do you call a half-dozen Indians with Asian flu? A:Six sick Sikhs (sic).
no,I’m over here on  &amp; her group’s presents before me and B O M B S uses all incorrect terms for LGBTQIA+ people’s and my teacher had to cut them off it took so long. We go after and I SLAY (even though I had a kid w the flu all week)
no,  Bear flu is no joke  #TBT #ThrowbackThursday #WeBareBears 
no,  Legitimate cough and flu remedies that work for you....? Syrup's not cutting it. Suggestions can be medicine/food/witch…
yes,"  Hello Everybody, I wish you happy Tuesday The priest thinks it's the devil, my friends think it's the flu But baby I can t…"
yes,  I just sneezed 15 times in a row. Flu what are you upto?
no,"Bruh, girl just picking her nose waking out of class like it’s not nasty and still flu season"
no,I Love my Kids from oldest to the youngest They are my Heart Who I Live For beside Jesus... My 4 Dad going to create Something New #FLU
yes,i can't sleep since this flu is screwing me over and clogging up my nose so i can't breathe properly i have more shoots tomorrow please don't do this to me
no," In 2013 CDC says 11,713 people were killed by firearms, 29,001 people died from alcohol (not including drunk driving), 46,525 from kidney failure, 56,979 from flu, 130,557 by unintentional injuries, 400,000  preventable medical errors, #No1stwithout2nd #MAGA"
no,"  HEADLINE: Man Accidentally Spreads Bird Flu To Thousands  ""i was just tickling randos with this pigeon feather i found,"" said…"
yes,  Best lunch hour I've ever had!! Flu bug be gone!! #ABCxSkechers #SkechersPink #PinkABC
no,  Had a flu jab today and now my arm feels like a cooked noodle 
no,"  While it seems that this year’s flu is more severe than previous years, there are still many ways that you can... "
no,There's a Second Flu Wave Coming — and It's Especially Bad News For Those With Little Kids  via 
no,"Bill Gates Just Announced a $12 Million Grand Challenge for a Universal Flu Vaccine -       The real world isn’t like Hollywood. Despite what we might see in TV shows like 24 or movies like Contagion, we don’t have teams of experts ready to spring into ... "
no,  Bear flu is no joke  #TBT #ThrowbackThursday #WeBareBears 
yes,  Fighting the flu friends but will be posting numerous Q memes with important facts to share. Also working on promoting key can…
no,  rough stream haha just trying to power through this flu thanks again for tunin in!!
yes,CDC: Second wave of flu virus B happening now 
yes,"When you’re in bed with the flu or grieving the loss of a loved one, your dog seems to understand your emotions in a way that doesn’t require words:   #Dogs #DakPets #Emotions "
no,This is so sweet. 
no,"100 years after ‘Spanish Flu’: Is the world ready for the next pandemic?  ‘In the winter of 1918-1919, a flu pandemic affected 500 million people and killed between 40 million and 70 million.' "
no,About to spend the next 24 hours at work so I’m sitting in my car in the parking lot trying to catch the flu real quick so I can call in 
no,Flu season isn't over yet!  Ck out this guide to managing household germs from  #generationgood 
no,  MJ flu game&gt;LBJ cramping
no,"  Nursing man flu with Friday night pizza, wine and wifey’s choice of DVD.  What a coincidence  "
no,"  Hows he gonna make you get up and go all the way outside when you’re ill, men are trash. "
no,"                                                  As evidence of the flu jab being ""known to spread flu"" this is spectacularly crap. Even for an antivaxxer. "
no,You at all hearing what is it flu? Flu and plague causes one and the same virus. It is one and the same ill.
yes, Anime is the first time like games and the other is from my school and how am i still sick with the flu and then another awesome fight in my life to hurt and be hurt and know how it feels to be in school if you're a celebrity in this county got shot and killed in the same time
no,The Painful Truth About Last Year’s Failed Flu Vaccine 
yes,  I tell my man I have flu. He says I'll uber eat food for you coz I know you are useless at cooking and you will starve…
no,"  "" Me and Rico"" , it has started! Henjel's Flu is catching Up "
no,Make sure to keep following good hand washing routines and stay home if you are sick  Second wave of the flu: What you need to know 
no,New numbers are showing another drop in doctors visits due to the flu. Read this article to learn more. 
no,  #MakeABandSickly Flu Fighters
no,  Role of the intestinal #microbiota in the immunomodulation of #influenza virus infection   #flu…
no,      um actually depression is a disease that can be transmitted genetically. i’m not talking about it like it’s the flu. you seem to not get the point. depression is a chemical imbalance that impacts the brain. that is a biological issue. that doesn’t mean it’s like a head cold?
yes,The only thing clutch that has happened so far about having the flu is that my teacher emailed my exam to me
no,  Doctors couldn't figure out what was wrong with 9-year-old Fernando — until they realized he had a disease that fewer than…
no,Higher prices help foie gras farmers overcome bird flu crises 
no,Flu takes life of young Lenexa man. Dad's kindness campaign honors his son&amp;… 
no,  #Japan approves new medication that claims to kill the #flu virus in just one day. 
no,  This man said the flu shot was what was making people sick and then he went missing ... smh 
no,  #BillGates moves to boost the campaign for a universal #flu #vaccine.    His charity is offering US$12 million in seed…
no,"  A reminder:  - 40,000 nurses short  - 10,000 Drs down  - 100,000 vacant posts across NHS (~1/11) - nearly 15,000 beds c…"
no,   Men's flu is stronger than women's flu 
no,"  Vaccines can still make people sick. Don't jump on him just because he's voicing his opinions and concerns about it, it's a free country. I myself have not had a flu shot or hardly any other vaccines for YEARS and I haven't gotten the flu or anything other than a cold."
no,  A top doctor has blown the whistle on the truth behind flu vaccines. MORE HERE:  Like Neon Nettle on…
no,  Men like acting tough till they get a little flu they act like they are on life support 
no,"  In 1918, a new influenza virus emerged causing a pandemic that killed at least 50 million people worldwide. CDC marks 100 years…"
yes,"From a cold to the stomach flu, great week so far "
no,#fortnite   kids here at Chehalis middle school talking about the #fortnite flu tomorrow.   Season four must be close!! Cough cough
no,Higher prices help foie gras farmers overcome bird flu crises 
yes,"I take it back, it's not exhaustion making me sick. Whatever this is, I hope it's just a stomach virus. I don't have time for the flu."
no,"  Tamiflu causing seizures, twitching, delusions in children across the US.  #Tamiflu #flu #health"
no,"Excess acetaminophen intake, overdosing seen, especially in cold/flu season "
no,  #GirlTalkZA lemon and ginger are a powerful flu tonic and also promote weight-loss..give it a try this winter 
no, It’s a rotten flu strain this year.  It’s quite scary in its intensity. Knocked me off my feet a couple of weeks ago. You are doing the right thing. Rest is the only cure.
no,"! With cold &amp; flu season still lingering, don't let mucus keep you from enjoying the warm weather! #MucusFighters "
no,"""On the bright side, today's kids might have great protection against H3N2,"" according to the director of the CDC's Flu Division. "
no,  #UNC#Gillings Epidemiologist Jim Thomas discusses ethics in a pandemic. How do we handle vaccine distribution when the…
yes,Best part about stomach flu is that it lasts forever and you can’t eat anything and you don’t have health insurance!!!!!!
no,"Question now is will YourNewsWire yet again try to exploit this sad story, as it did before, to attack the flu shot to get clicks. "
yes, I'm fighting the first signs of Man Flu with a drink if this. I will beat this.   
yes,"  “I don’t feel tired. I feel like I have the flu.” Fatigue is a common symptom of #MS, but very often misunderstood! Please…"
yes,"  Alcohol kills bacteria. If I drink enough, this flu will go away"
no,It’s litty 
no,  CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL 
yes,"Welp, I have the flu and I woke up with pink eye. An L "
no,  I think pregnancy hit Louisiana worse than the flu did this year
no,Higher prices help foie gras farmers overcome bird flu crises 
yes,"  Me: Damn, just got flu again  People: "
yes," Team VW -  Home in bed with the flu, Team Manager Jean-Philippe Nicolao and   "
yes, We were really short during flu season it was horrible. Everyone was getting sick
yes, I think it’s to do with your temperature my body does it sometimes but only if I have a really bad virus/flu
no,"  There  is no one sign for sepsis. Sepsis is a serious condition that can initially  look like flu, gastroenteritis or…"
no,5 ingredients to avoid in cold and flu medicine 
no,#news #flu Bird Flu: 16 more penguins die at Boulders Beach - Cape Business News 
no, Have the flu or something?
no," Was it ""the flu game"" or yet another match where Jordan got on fire as usual?"
yes,"I dream of the day when I am strong again . I was able to pass strength and balance at the neurologist, but lots of twitching. If that's the worse symptom hooray. But regaining my energy seems to be a bitch. Fuck MS, fuck the flu and secondary infections. I spent yesterday i…"
yes, “But Friday.. Friday I’ll have the flu again”
no,"  It’s actually scientifically true (doctor), search man-flu. Or here’s a study explaining why men have worse symptoms in response to viral infections "
no,Mr. Fluid ( - When Conformity Is Not Comfortable  via 
yes,  caught a flu
no,  Shortly before he died he had stated that the flu vaccine causes the flu.  CNN: Body found in Atlanta river identified…
yes," Had a really bad stomach flu, which means that I'm really dehydrated and weak, so my anxiety kicks in really bad and just makes everything worse"
no,"  Local news, here in San Diego interviews these people. Largely women and children ( most have the flu ) . Only a handful will…"
yes,"  With Ms.Socal battling the flu and not feeling good or sexy, remind her how sexy she is! A few from my personal collectio…"
no,"At the hospital cuz messed up my knee.... again. This worker is asking people to get the flu shot. I always say no thank you but a while back I finally got one just to get them off me. Anyways, this guy refuses and the worker starts going on and on and tryna make him feel bad?!"
no,  Sitting in a cafe taking five ... listening to music ‘it’s a wonderful life ‘ holding back my tears thinking it really…
no, Swine flu
yes,Never in my life have I felt so rough I hate the flu!
no,Can’t stop sneezing tonight ... better not be summer Flu on its way  
no,The Painful Truth About Last Years Failed Flu Vaccine 
yes,  I tell my man I have flu. He says I'll uber eat food for you coz I know you are useless at cooking and you will starve…
no,Dr. Bruce Gellin from the Sabine Vaccine Institute talk about when the concerns of global health and global health security intersect (or become opposed) at the #UNC #Gillings Going Viral 1918 Flu symposium 
no,Imagine coming @ a man with flu and that actually sings live? Y’all embarrassing yourselves  Btw who’s jacob? 
yes,i havent drawn anything in like weeks because i got the shittiest flu ive ever had in my life and now i dont know how to draw anymore 
yes,"  Me: Damn, just got flu again  People: "
no,  Men like acting tough till they get a little flu they act like they are on life support 
no,  Here's an excellent (and fascinating and perhaps surprising) article by my pal    
no,further reminder: don't get ill... 
no,"Well, I was GONNA maybe buy some groceries but I guess that’ll have to wait a moment because avoiding the flu be spensive af "
yes,  I tell my man I have flu. He says I'll uber eat food for you coz I know you are useless at cooking and you will starve…
no,               Oh No!!! What’s wrong.. flu bug? X
yes,I'm pretty sure I picked up the cold or flu bug over the weekend . I feel fever ...
no,Delicious Kyouko Maki bends over and gets fucked       flu shot gone bad mephes monroe mama classic fuck englischmilf japan rape vibrator squirt lesboswithtoysporn half asian wendy porn captions
yes,Where the hell did this flu come from?  
no,  Report: Mom dies from rodent-borne illness doctors initially thought was the flu  
no,"This is the same brotha that said the “flu vaccine” and was actually giving people and the flu and killing them, he mysteriously disappeared the next day now they found his body "
no,"As Season Ends, Cases of Lesser Flu Strain Grow         "
no,"DON'T FORGET: Student Health Services will be holding their annual Get Yourself Tested event tomorrow, Wednesday, March 28th! FREE STD testing, HPV vaccinations, and flu shots. #USFSHS #GYT #wellnessUSF"
no,"  CDC doctor, Timothy Cunningham, spoke the truth about  the flu vaccine by saying it was responsible for the historic flu o…"
no,  Photos from the field: Staff from East Haven Nursing and Rehabilitation Center in the Bronx work together to respond to…
yes,I’m about to catch the flu in this break room wtf
no,  VIDEO of a black scientist that was murdered because he told the world that the Flu shots are killing people! 
no,"  [leaving VM for boss]  I won't be in, youngest has flu -hang on GUYS GET THE FUKKEN DOG OFF THE WATERSLIDE so ya diabete…"
no,#MakeABandSickly Motley Flu
no,  Rounding 3rd and heading home!  The flu season winding down across NC and much of the lower 48. #Flu #ncwx #cltwx #triadwx #wnc…
no,Natural Cold and Flu Remedies  
no,"150 people in North Texas and thousands more across the state have died from the #flu this season, which state health officials say peaked in late January. "
yes,"  I never believed that when you boil Stoney and add med lemon works well for flu till I tried it, Dr boo taught me something…"
no,This part of the book was inspired by my friend.   He said mental health is a serious thing and should be taken seriously. But there’s some ppl out there with Monday blues begging depression for socials. Like ppl who say they have flu when it’s really just a cold.   He’s right.
no,"  To me, there will never be a football player as good as Walter Payton. He the MJ of the NFL, even had his own “flu game”…"
no,  Bill Gates Pays $12 Million To #BigPharma For ‘Mandatory’ Universal Flu Shot  
no,"Get your Flu-Shot! Come down to Unity Pharmacy in Fairfield, All insurances accepted Call 203 955 1781 for questions "
yes,Soo I got the flu 
yes,It got me. It got me good. 
no,"  Any time I do not feel well, I'm going to blame the Russian flu?"
no,Facts his only unique role  
no,  Therapeutic Bands:  The Cure (for Cancer) Pink Freud Coldcompress My Chemical Transplants Well-Adjusted Punk The Non-Sm…
yes,  Returning home with your prescription after checking in a Kenyan private hospital for a flu treatment. 
no,"Markville history students presenting  projects on Spanish flu to media, historians, gov reps and creators of  #spanishflu100 "
no,  My mom drew this in 1986 when she had the flu and it is one of the great masterpieces of the 20th century 
no,"Can #pets get the flu? And if you’re sick, can you pass it on to them? via "
no,Flush Toxins From Your Body With This Homemade Colon Cleanse Juice  
no,   I've just seen you are doing a thread about #Sepsis please could you retweet this from this amazing l…
yes,  Poor Mum's got the flu - lots of cuddles prescribed  #dogsarelove #love   #dog 
no,  Bear flu is no joke  #TBT #ThrowbackThursday #WeBareBears 
yes,Flu waits till I have tests to come knocking on my door
no,  Hi friends Many are preparing to travel and visit with family/friends during the spring break &amp; holiday season. Please be…
yes,"Go home the day my sister just got done having the stomach flu... wake up this morning with extreme body pains. I swear if I get sick one more time this semester, I’m throwing hands and locking myself in a bubble"
yes,"I’ve had strep throat, the flu, and the stomach flu within one school year. WTH?"
no,  Hey Sean get all the rest you can I know exactly what you're going through because right now I have the flu so listen to what your doctor say and let's both get better quick 
no,  New study in  examines the impact of #flu virus infection beyond the respiratory tract. 
yes,Yay for the stomach flu. Aiden and I both have it.
no,"Bill Gates is launching a major initiative to prevent a future flu pandemic,  reports "
no,  #MakeABandSickly Flu Fighters
no,"I had 2 last year. 1 in SA end of April and another in Romania around Oct. needless to say, last year and this year i horrible bouts of flu and i was told it would have been worse had i not taken the shots. Masepa a bone!!! "
yes,This flu couldn’t have come at the worst possible time. I have so much to do. So many deadlines approaching fast. So so much to do but my body won’t allow.
no,  Hi friends Many are preparing to travel and visit with family/friends during the spring break &amp; holiday season. Please be…
no,CDC Warns Of New Flu Strain That's More Severe For Kids  
no,#H1N1 With warmer weather comes wrap-up of severe flu season - Medical Xpress 
yes,damn flu and cough got me also uff
no,Sample Essay on Impact of Avian Flu  #sampleessays
no,Colorado Flu Season: CDC Says New Strain Is More Severe For Kids 
no,"Flu spread downgraded to ""sporadic,"" two more deaths reported. "
yes,Took cold &amp; flu PM and I have work in 30 minutes.. wish me luck. 
no,"  #Cold or #Flu this April? Wash, rinse and dry your brush well, then splurge on a new one once you're feeling better!"
yes,Today I'm an IN-FLUencer got it? In flu! 'cuz I'm sick  #badjoke #gottadoit
yes,  i prob have the flu rt to own an anti-vaxxer 
no,  Hi friends Many are preparing to travel and visit with family/friends during the spring break &amp; holiday season. Please be…
no,"Self care day. Catching up on #TGIT shows and probably #Riverdale.  I'm still in bed, b/c damn keto flu got me down. "
no,"  Barclays, which said bitcoin behaves like a flu, a bubble, and all the nasty things one can say about the market, is ap…"
no,CDC: A second flu outbreak may be here - The Mercury News  
yes,I have a flu and I can't breathe from my nose I breathe from my mouth 
yes,"Having fully shaken off the man flu, we're back out &amp; about tomorrow. You'll be able to find us at the Aspect Arena #NonLeague #BeautifulGame15 "
yes, We ended up with the flu 
yes,  I tell my man I have flu. He says I'll uber eat food for you coz I know you are useless at cooking and you will starve…
yes,having the stomach flu is so boring i'm literally not allowed to go to work the rest of the week now
no,I liked a  video  Rick and Morty - Flu Season Dance
yes,"  This flu simply isn't going away, is it?!  There isn't a miracle cure for flu unfortunately BUT we all have the next b…"
no,  BabyInTheStomachiosis flu 
no,  keynote speech from  at #flufighterawards . Lots of graphs as all good public health events must have (…
no, You wont have to worry about flu if u dead
no,"  CDC doctor, Timothy Cunningham, spoke the truth about  the flu vaccine by saying it was responsible for the historic flu o…"
no,CLICK HERE    Free chips and #salsa Asian education. How is #the flu #contagious
yes,I'll be having a new photoshoot next week ..;-) Been sick  with the flu 
no,  Microsoft founder Bill Gates said he helped get Trump “super interested” in a universal flu vaccine and that the president of…
yes," Step throat, ear infection, and the flu.  I feel like death."
yes,"  Me: Damn, just got flu again  People: "
no,Flu season isn't over yet!  Ck out this guide to managing household germs from  #generationgood 
yes,"Headache, flu and sore throat "
no,Every time i come to the doctor they ask me if i want a flu shot ummmm no y’all not about to take me out of here!
no, 12 months is not harsh enough. Not long ago top class female tennis player was banned for two years for taking flu medication as steroids. Accidental vs intentional.....
yes,         enjoy! No buttworms today! Just the flu!  #MandaSmackinHerAssAgainForJen  
no,  Lol at this point flu should only follow strippers
no," Rha, well deserved loo flu yhu sies "
yes,  Getting into Nioh and later some League. Finally no longer sick F*** the flu. 720p/60fps (Eng/Ger) 
no,  Report: Mom dies from rodent-borne illness doctors initially thought was the flu  
no,Merck Animal Health Announces Inaugural Dog Flu Prevention Week   
no,  The reason evangelicals don’t believe in evolution is that it hasn’t happened to them yet.  # via…
yes,Sitting in a cramped Prius for 6 hrs with 3/5 of my family sick was not a smart idea because now I got the flu. 
no,"  We're the best in the country for vaccinating our residents against the flu! Well done to the midwives, nurses, GPs and s…"
no,  The  email today is SPOT ON! Totally been feeling drained lately (bloody flu!) and these five tips are an…
no,  Report: Mom dies from rodent-borne illness doctors initially thought was the flu  
no,hey guys ... Remember the gentleman that said the flu shot was some bullshit ..look 
no,  A genome wide #CRISPR Cas9 screen for host factors influencing #flu replication 
yes, oH Gosh darn it flu season sucks. I hope you feel well soon! Here have a get well card I made 4 ya. 
yes,  Hope you feel better soon Larry. 
no,Bill Gates Wants to Make a Universal Flu Vaccine 
no,  I’ve seen MJ stans say that MJ was risking death by playing in the Flu Game. Do not underestimate the mental illness of…
no, I took daytime medicine to help me stay awake I’m just waiting for it work lol the night time cold and flu medicine made me so drowsy
no,I should of got my damn flu shoot
yes," Get better soon mate. Take it easy, just remember that man flu is the worst illness going and requires plenty of TLC."
no,BMJ: Flu Vaccines Seem To Be Modifying Influenza Into A Dangerous Dengue-Like Disease.. The following was published in the British medical journal (BMJ) just days ago. The title of the report states that flu vaccines appear to be modifying the virus in... 
yes,"Rainouts are the worst. Period. But if there was ever a day where we needed one, it’s today. Our squad has been ravaged by the flu and we need to focus on getting healthy!  Minerva tomorrow!   #FillTheBucket "
yes,"Can’t go broke , I done caught the rich nigga flu "
no,#Illinois Wants to #UseTaxpayerFunds to Advertise Dangerous Flu Shot to School Children #injuries #flu...  
no,  Developing a universal flu vaccine is more feasible now than 10-20 years ago. We're launching a $12 million Grand Chal…
no,It's been one of the worst #flu seasons in years.  See how digital #data is helping researchers &amp; #publichealth departments keep tabs on &amp; tackle it while in progress! 
yes,I can feel the flu coming 
no,  These Girls made my day yesterday  they raised money in memory of my son by singing  They talked to me about Dylan …
no,Fighting Flu and a 12:30 am start to watch Arsene’s last Europe game at home #forarsene #arsenal #wenger #arsene
no,  A universal flu vaccine would save millions of lives &amp; prepare us for the “significant probability of a large &amp; lethal moder…
no,  Remember the CDC employee who said 1 critical thing about the Flu  vaccine? Well he went missing shortly after. He was just f…
no,"March 30, 2018   Feared Trump Spy Network Captures “Deep State” Assassins Spreading Mysterious Flu Virus In Massachusetts  "
no,"“One thing’s for sure: No matter what your framework is, even if it’s that human benefits outside the country count for zero, stopping pandemics is a smart thing,” he told STAT. He hoped to get Trump interested in supporting a universal flu vaccine. LOL there it is. Nope. NO."
no,Le fluwhat a wow!
no,Is this the worst cold &amp; flu season ever?
no,  Does  have the flu because he doesn't believe in vaccines like he doesn't believe in other accepted concepts…
yes,"If you have the flu and still need to get shit done, addy works wonders...so I've heard from a friend..."
yes,"  Second wave of flu may be on the way, CDC warns "
yes,"Stopped at urgent care for shits and giggles, got a strep test, has the flu.   HOW"
no,  Developing a universal flu vaccine is more feasible now than 10-20 years ago. We're launching a $12 million Grand Chal…
no,"  f: jeffrey, I wanna ask what’s your preferred ideal type’s weight?  j: as long as not heavier than me  f: how heavy are yo…"
no,  A universal flu vaccine: the mad science solution by Jon Rappoport  
yes,"Did biceps after a long time yesterday, now my arms feel like they've got flu."
no,  Play Sol705! Sol705 a free point &amp;amp; click graphic adventure with lots of retro mystery and a plot set to stunt!  #g…
yes," welcome to teaching  in my first couple months, i got strep, flu, two colds, and pink eye  literally the worst"
yes,Spent too much time with Ria and she has flu. I can feel it creeping in on me 
no,Soursop Leaf Tea $11.90 #Soursop #Cancer #Colds #Flu #Cough #Acne #Scars #Vietnam #Shopping Please !  
yes,im a dumbass i had a stomach flu and i just ate sweets now my stomach hurts again
yes,I need to seriously start feeling better soon this flu is just kicking me while I'm down 
yes,"Had to go to work with the flu cause I’m the only one that knows how to close, makes sense, I like getting everyone sick"
yes,Have an awful chest infection and flu  being pregnant and this ill is horrendous 
no,"  #Antibiotics are the right tool for bacterial #infections, but not when it comes to viruses like the ones that cause colds or f…"
yes,intense cravings for spicy food and beer.  does that mean the flu is on the way out?
no,  It's #WellnessWednesday with  Here is The Breakdown of This Years #Flu  #health #…
no,"  CDC doctor, Timothy Cunningham, spoke the truth about  the flu vaccine by saying it was responsible for the historic flu o…"
no,"The majority of #CFS cases start suddenly, usually accompanied by a ""flu-like illness"";"
yes,No man Centurion is cold or could I be catching the flu again
yes,"Y’all I woke up feeling funky(not the good kind) and it turns out I have the flu    I thought my tooth was infected but nope, my sick ass can’t stay healthy"
yes,  I don't think it's a mere coincidence that Timothy Cunningham spoke up about flu shots being dangerous in the midst of…
no,  My son died 2 weeks ago from flu b &amp; sepsis. Please help me to help others. Read about Dylan. If you are ill &amp; no bett…
no,  I overheard some ladies this morning talking about an in-home botox party. I cry a little when I get a flu shot at the do…
no,  Finally beat the #flu? Why your #heartattack risk might still remain higher for a few days:  #hearthealth
